Date,VTI,VEA,VWO,AGG,TIP,GLD,IYR
2019-10-01,149.02999877929688,40.709999084472656,39.97999954223633,113.12000274658203,116.31999969482422,139.6300048828125,92.55000305175781
2019-10-02,146.61000061035156,39.900001525878906,39.790000915527344,113.19999694824219,116.31999969482422,141.25999450683594,92.19000244140625
2019-10-03,147.8000030517578,40.18000030517578,40.27000045776367,113.63999938964844,116.69000244140625,141.89999389648438,93.08999633789062
2019-10-04,149.72999572753906,40.4900016784668,40.459999084472656,113.81999969482422,117.05000305175781,141.89999389648438,93.58999633789062
2019-10-07,149.13999938964844,40.439998626708984,40.150001525878906,113.51000213623047,116.7300033569336,140.69000244140625,93.33000183105469
2019-10-08,146.72999572753906,40.060001373291016,39.810001373291016,113.55000305175781,116.62000274658203,141.9199981689453,92.8499984741211
2019-10-09,148.0800018310547,40.380001068115234,40.11000061035156,113.48999786376953,116.37999725341797,142.0500030517578,93.1500015258789
2019-10-10,149.02999877929688,40.63999938964844,40.540000915527344,113.0999984741211,116.01000213623047,140.80999755859375,93.33000183105469
2019-10-11,150.6300048828125,41.33000183105469,41.08000183105469,112.7300033569336,115.6500015258789,140.02999877929688,93.26000213623047
2019-10-14,150.49000549316406,41.18000030517578,40.9900016784668,112.91999816894531,115.83999633789062,140.58999633789062,93.27999877929688
2019-10-15,151.97000122070312,41.63999938964844,41.27000045776367,112.55000305175781,115.44999694824219,139.61000061035156,93.33000183105469
2019-10-16,151.69000244140625,41.66999816894531,41.380001068115234,112.75,115.62999725341797,140.41000366210938,93.4000015258789
2019-10-17,152.19000244140625,41.779998779296875,41.5099983215332,112.72000122070312,115.79000091552734,140.61000061035156,93.91999816894531
2019-10-18,151.5800018310547,41.72999954223633,41.400001525878906,112.80000305175781,115.97000122070312,140.4600067138672,94.66999816894531
2019-10-21,152.57000732421875,41.9900016784668,41.70000076293945,112.48999786376953,115.5999984741211,139.7899932861328,95.36000061035156
2019-10-22,152.11000061035156,41.88999938964844,41.66999816894531,112.66000366210938,115.94999694824219,140.1999969482422,95.05000305175781
2019-10-23,152.4199981689453,42.09000015258789,41.689998626708984,112.75,116.02999877929688,140.52999877929688,95.18000030517578
2019-10-24,152.83999633789062,42.15999984741211,41.7400016784668,112.77999877929688,116.0999984741211,141.52999877929688,95.05999755859375
2019-10-25,153.4499969482422,42.189998626708984,41.93000030517578,112.62000274658203,116.12000274658203,141.86000061035156,94.08999633789062
2019-10-28,154.3800048828125,42.380001068115234,42.2599983215332,112.37999725341797,115.55999755859375,140.63999938964844,93.58000183105469
2019-10-29,154.35000610351562,42.33000183105469,42.02000045776367,112.38999938964844,115.2699966430664,140.25,93.9000015258789
2019-10-30,154.72000122070312,42.5,42.18000030517578,112.70999908447266,115.69999694824219,141.02000427246094,94.41999816894531
2019-10-31,154.17999267578125,42.400001525878906,41.849998474121094,113.1500015258789,116.05999755859375,142.42999267578125,94.26000213623047
2019-11-01,155.8300018310547,42.779998779296875,42.5,112.93000030517578,116.20999908447266,142.55999755859375,94.19000244140625
2019-11-04,156.39999389648438,43.0099983215332,42.810001373291016,112.6500015258789,116.12999725341797,142.14999389648438,93.45999908447266
2019-11-05,156.25999450683594,43.0,43.02000045776367,112.2300033569336,115.91000366210938,139.85000610351562,91.94000244140625
2019-11-06,156.19000244140625,42.959999084472656,42.95000076293945,112.4000015258789,116.27999877929688,140.4499969482422,92.20999908447266
2019-11-07,156.72000122070312,43.150001525878906,43.2400016784668,111.87000274658203,115.62999725341797,138.27000427246094,91.33000183105469
2019-11-08,157.16000366210938,43.060001373291016,42.849998474121094,111.80999755859375,115.55999755859375,137.38999938964844,91.16000366210938
2019-11-11,156.85000610351562,43.02000045776367,42.61000061035156,111.83000183105469,115.62000274658203,137.05999755859375,91.37000274658203
2019-11-12,157.1199951171875,43.029998779296875,42.290000915527344,111.94999694824219,115.5999984741211,137.42999267578125,90.7300033569336
2019-11-13,157.19000244140625,42.88999938964844,42.02000045776367,112.1500015258789,115.69999694824219,137.97999572753906,91.47000122070312
